naming,count
3M MPro120 Micro Professional Projector,1
AKAI MPKmini,9
Amazon Kindle 3,4
Amazon Kindle USB Cable,3
Apple 30-pin Digital AV Adapter,	1
Apple 30-pin to USB Cable,	7
Apple AirPort Time Capsule 3TB,	1
Apple Earbuds,	2
Apple iMac 21.5″,	1
Apple iPad 10W charger,	2
Apple iPad 12W charger,	3
Apple iPad 1st Generation,	4
Apple iPad 4th Generation,	1
Apple iPad 5W charger,	3
Apple iPad Mini 1st Generation,	3
Apple iPhone 3GS,	4
Apple iPod Touch,	9
Apple iPod Touch 5th Generation,	2
Apple LED Cinema Display 24″,	1
Apple LED Cinema Display 27″,	1
Apple Lightning Digital AV Adapter,	1
Apple Lightning to USB Cable,	4
Apple Lightning to VGA Adapter,	1
Apple Mac Mini,	1
Apple Time Capsule,	1
Apple TV,	1
Apple White MacBook 13.3″,	1
Asus EEE PC,	1
Audio-Technica 3000 Series,	2
Belkin 2m Lightning cable,	2
Creative N10225 Webcam,	1
Crucial 4GB SODIMM,	2
D-Link DCS-5222L Camera,	2
D-Link DCS-932L Camera,	2
D-Link DGS-1005D Gigabit Switch,	1
Data Projector Hitachi CPX5,	1
Directional Microphone Canon DM-100,	1
Emotiv EPOC Neuroheadset,	1
ESI nEar 08 Speakers,	1
Estimote iBeacons,	1
Extension cord 4 plugs,	2
Extension cord 5 plugs,	2
Extension cord 6 plugs,	6
Flip Camera,	4
GoPro Hero 3,	1
Headphones Sennheiser HD-201,	1
Headphones Sennheiser HD-202,	1
Headphones Sennheiser HD-203,	1
Headphones Sennheiser HD-204,	1
Headphones Sennheiser HD-205,	1
Headphones Sennheiser HD-206,	1
Headphones Sennheiser HD-207,	1
Headphones Sennheiser HD-208,	1
HTC Windows Phone 7,	1
Joby Gorillapod,	2
Labtec Headphones with Microphone,	21
Lacie Porsche Hard Drive,	1
Leap Motion Controller,	1
Little Printer,	1
Logitech Headphones with Microphone,	1
Logitech Webcam,	12
M-Audio Fast Track,	8
Magellan eXplorist 210,	3
Microsoft Surface RT with Touch Cover,	1
Mirametrix Eyetracker S2,	1
NeuLog Battery Module,	2
NeuLog Electrocardiogram Logger Sensor,	2
NeuLog GSR Logger Sensor,	2
NeuLog Heart Rate and Pulse Logger Sensor,	2
NeuLog RF Communication Module,	4
NeuLog USB Module,	2
NeuLog WiFi Communication Module,	2
Nexus 10 (Samsung),	1
Nexus 7 (Asus),	1
NFC Hacker Starter Kit,	1
Nokia N810 Internet Tablet,	2
Octopus USB Hub,	1
Phidgets 3-Axis Accelerometer,	2
Phidgets 950g-cm Unipolar Stepper,	4
Phidgets Advanced Servo,	1
Phidgets Bolts,	4
Phidgets Circular Touch,	2
Phidgets Encoder,	2
Phidgets FlexiForce,	2
Phidgets FlexiForce Adapter,	4
Phidgets Force Sensor,	4
Phidgets Interface Kit 2/2/2,	1
Phidgets Interface Kit 2/2/2 replacement cable,	2
Phidgets Interface Kit 8/8/8,	2
Phidgets IR Distance Adapter,	4
Phidgets IR Reflective 10cm, 4
Phidgets IR Reflective 5cm,	3
Phidgets IR Reflective Sensor,	1
Phidgets Karbonite Gear,	4
Phidgets LED-64 Advanced,	2
Phidgets Linear Touch,	2
Phidgets LV-MaxSonar-EZ1,	2
Phidgets Mini Joystick Sensor,	4
Phidgets Miniature Mag Switch,	4
Phidgets Motion Sensor,	2
Phidgets Motor Control HC,	1
Phidgets Power Supply 12DC 2.0A – EU,	1
Phidgets Precision Light Sensor,	8
Phidgets Precision Voltage Sensor,	2
Phidgets RFID,	2
Phidgets RFID Tag – 30mm Disc,	22
Phidgets RFID Tag – Credit Card Sized,	14
Phidgets RFID Tag – Key Fob,	4
Phidgets Rotation Sensor,	4
Phidgets SBC 2,	1
Phidgets Sensor Cable 350cm,	1
Phidgets Sensor Cable 60cm,	2
Phidgets Sharp Sensor,	4
Phidgets Slider,	4
Phidgets Slider Sensor,	4
Phidgets Sound Sensor,	2
Phidgets Spatial 3/3/3,	1
Phidgets Temperature Sensor,	2
Phidgets Text LCD 8/8/8 White,	1
Phidgets Touch Sensor,	6
Phidgets Unipolar Stepper,	1
Phidgets Vibration Sensor,	2
Phidgets Webcam,	1
Photo Camera Canon Powershot,	1
PrimeSense Carmine 1.08,	1
Programmable Keyboard,	1
Raspberry Pi Starter Kit,	1
Samsung ME40 Touch Panel,	1
Samsung ME40C Screen 40″,	1
Samsung SC450 Monitor 24″,	2
Samsung Sync Master 2443 Monitor 24″,	3
Sifteo Cubes Kit,	1
Smartboard SBD600 Series,	1
Sony Vaio Tap 20,	1
Switch Interface,	1
Tripod Sony VCT-R640
TV 42″ Philips,	1
Verbatim Headphones with Microphone,	2
Video Camera Canon Legria HF20,	1
Voice Recorder Edirol by Roland,	1
Voice Recorder Olympus DS-2000,	1
Voice Recorder Zoom Handy H2,	1
Wacom Intuos 2,	1
X-Keys switch,	10
